task_id,model,edit_format,passed,turns,tool_calls,invalid_tool_calls,input_tokens,output_tokens,cache_read_tokens,cache_creation_tokens,latency_seconds,error
c01_localized_bug__small,claude-sonnet-4-6,search_replace,1,1,1,0,1418,110,0,0,3.101,
c01_localized_bug__small,claude-sonnet-4-6,unified_diff,1,1,1,0,3,131,0,1283,2.267,
c01_localized_bug__small,claude-sonnet-4-6,semantic,1,1,1,0,3,140,1600,765,3.783,
c02_multi_site__small,claude-sonnet-4-6,search_replace,1,1,3,0,3,393,0,1836,5.066,
c02_multi_site__small,claude-sonnet-4-6,unified_diff,0,1,1,1,3,264,0,1704,4.144,
c02_multi_site__small,claude-sonnet-4-6,semantic,1,1,3,0,3,386,1600,1186,5.387,
c03_xfile_rename__small,claude-sonnet-4-6,search_replace,1,1,3,0,3,424,0,1345,5.664,
c03_xfile_rename__small,claude-sonnet-4-6,unified_diff,0,1,1,0,1216,208,0,0,3.326,
c03_xfile_rename__small,claude-sonnet-4-6,semantic,1,1,1,0,698,161,1600,0,3.413,
c04_signature_change__small,claude-sonnet-4-6,search_replace,1,1,2,0,1532,307,0,0,3.727,
c04_signature_change__small,claude-sonnet-4-6,unified_diff,0,1,1,1,1400,187,0,0,3.008,
c04_signature_change__small,claude-sonnet-4-6,semantic,1,1,2,0,882,334,1600,0,4.671,
c05_api_migration__small,claude-sonnet-4-6,search_replace,0,1,1,0,1654,401,0,0,5.549,
c05_api_migration__small,claude-sonnet-4-6,unified_diff,0,1,1,0,1522,355,0,0,4.660,
c05_api_migration__small,claude-sonnet-4-6,semantic,0,1,2,0,1004,243,1600,0,3.929,
c06_extract_function__small,claude-sonnet-4-6,search_replace,1,1,1,0,1762,492,0,0,4.927,
c06_extract_function__small,claude-sonnet-4-6,unified_diff,0,1,1,1,1630,410,0,0,11.329,
c06_extract_function__small,claude-sonnet-4-6,semantic,1,1,4,0,1112,545,1600,0,6.718,
c07_inline_function__small,claude-sonnet-4-6,search_replace,1,1,1,0,1517,309,0,0,8.235,
c07_inline_function__small,claude-sonnet-4-6,unified_diff,0,1,1,1,1385,356,0,0,4.342,
c07_inline_function__small,claude-sonnet-4-6,semantic,0,1,4,0,867,418,1600,0,5.392,
c08_add_feature__small,claude-sonnet-4-6,search_replace,1,1,1,0,1468,240,0,0,3.713,
c08_add_feature__small,claude-sonnet-4-6,unified_diff,0,1,1,0,1336,225,0,0,3.321,
c08_add_feature__small,claude-sonnet-4-6,semantic,0,1,1,1,818,228,1600,0,3.279,
c09_remove_sweep__small,claude-sonnet-4-6,search_replace,1,1,2,0,1475,288,0,0,4.862,
c09_remove_sweep__small,claude-sonnet-4-6,unified_diff,0,1,1,0,3,124,0,1340,1.976,
c09_remove_sweep__small,claude-sonnet-4-6,semantic,0,1,2,0,3,231,1600,822,3.915,
c10_repetitive_structure__small,claude-sonnet-4-6,search_replace,1,1,1,0,3,154,0,1574,3.489,
c10_repetitive_structure__small,claude-sonnet-4-6,unified_diff,0,1,1,1,3,132,0,1442,2.399,
c10_repetitive_structure__small,claude-sonnet-4-6,semantic,1,1,1,0,3,122,1600,924,2.174,
c11_type_changes__small,claude-sonnet-4-6,search_replace,1,1,1,0,3,364,0,1316,4.283,
c11_type_changes__small,claude-sonnet-4-6,unified_diff,0,1,1,1,3,308,0,1184,4.144,
c11_type_changes__small,claude-sonnet-4-6,semantic,0,1,1,0,3,126,1600,666,3.107,
c12_hygiene__small,claude-sonnet-4-6,search_replace,1,1,1,0,3,406,0,1634,4.951,
c12_hygiene__small,claude-sonnet-4-6,unified_diff,0,1,1,1,1505,401,0,0,4.656,
c12_hygiene__small,claude-sonnet-4-6,semantic,0,1,4,0,987,576,1600,0,7.319,
c13_test_work__small,claude-sonnet-4-6,search_replace,1,1,1,0,1382,211,0,0,2.996,
c13_test_work__small,claude-sonnet-4-6,unified_diff,1,1,1,0,1250,213,0,0,2.810,
c13_test_work__small,claude-sonnet-4-6,semantic,0,1,1,1,732,167,1600,0,3.326,
c14_config_code__small,claude-sonnet-4-6,search_replace,1,1,2,0,1755,698,0,0,7.252,
c14_config_code__small,claude-sonnet-4-6,unified_diff,0,1,1,0,1623,124,0,0,17.928,
c14_config_code__small,claude-sonnet-4-6,semantic,0,1,2,0,1105,241,1600,0,4.167,
